agency,sido,sigungu,spot_name,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울특별시,성동구,성수동2가,37.5409627375216,127.057019282187,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,송정동,37.5545322586261,127.069569072089,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,옥수동,37.5435886378545,127.013438338877,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,용답동,37.5640758244217,127.055579052769,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,응봉동,37.5531604882762,127.033416807797,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,하왕십리동,37.5619122139371,127.028703243306,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,행당동,37.5583059078881,127.037031736958,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,홍익동,37.5663550219261,127.032213833438,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성북구,길음동,37.6076658267475,127.023343590916,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,돈암동,37.5962791991149,127.00991034218,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동선동1가,37.5923102427412,127.018211777612,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동선동2가,37.5901655850025,127.020040985677,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동선동3가,37.5944938544003,127.020599250097,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동선동4가,37.5952221822842,127.018633716126,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동선동5가,37.5959288284837,127.016844785039,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동소문동1가,37.5900265113417,127.007210212424,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동소문동2가,37.5887073911224,127.008238156364,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동소문동3가,37.5898604829039,127.010489205319,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동소문동4가,37.5917597611251,127.01063893326,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동소문동5가,37.5916367047087,127.01537185184,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동소문동6가,37.5933415527604,127.01399531696,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,동소문동7가,37.5963292176218,127.014190641129,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,보문동1가,37.586489601596,127.019645993321,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,보문동2가,37.5857474136522,127.018210178625,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,보문동3가,37.5838880357102,127.016352976758,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,보문동4가,37.5828961453855,127.021347801017,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,보문동5가,37.5823846059338,127.020066071097,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,보문동6가,37.5803846015947,127.018842854522,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,보문동7가,37.5798181272131,127.022551479065,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,삼선동1가,37.5846817438786,127.008396217359,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,삼선동2가,37.583369642001,127.011439305713,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,삼선동3가,37.5865085302362,127.013092803419,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,삼선동4가,37.5903502910641,127.013723013975,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,삼선동5가,37.5885336236906,127.015851281018,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,상월곡동,37.6069133345459,127.045527017386,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,석관동,37.6129860183722,127.0614007785,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,성북동,37.591046609396,127.003274531869,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,성북동1가,37.5895149125504,127.003614139532,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,안암동1가,37.5883885968467,127.02135842744,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,안암동2가,37.5865287984821,127.02216855408,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,안암동3가,37.5835336768551,127.023313410414,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,안암동4가,37.5807006819401,127.024648423554,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,안암동5가,37.5883977734309,127.029021378105,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,장위동,37.6170568426304,127.04956549458,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,정릉동,37.6185808255471,126.995482832879,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,종암동,37.5990602270307,127.035212918853,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,성북구,하월곡동,37.6075035036309,127.037812638789,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,송파구,가락동,37.496542166563,127.105729381413,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,거여동,37.4969242257406,127.143310298223,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,마천동,37.4960258496319,127.149903613069,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,문정동,37.4847415034154,127.118267660547,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,방이동,37.5110126423951,127.123923689605,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,삼전동,37.5027233386059,127.092519707191,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,석촌동,37.5035646306704,127.103667384036,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,송파동,37.5060929206302,127.109579159297,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,신천동,37.5182926381798,127.101366591012,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,오금동,37.5029748269765,127.128103930329,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,잠실동,37.5119564733933,127.088282780728,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,장지동,37.4785083981104,127.136582139995,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,송파구,풍납동,37.5380588825242,127.122225970875,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,양천구,목동,37.5304364108361,126.870989288343,9869,1378,1513,188,2988,861,92,2849
서울특별시경찰청,서울특별시,양천구,신월동,37.5328158189362,126.831535864977,9869,1378,1513,188,2988,861,92,2849
서울특별시경찰청,서울특별시,양천구,신정동,37.5185526780281,126.854354325392,9869,1378,1513,188,2988,861,92,2849
서울특별시경찰청,서울특별시,영등포구,당산동,37.5402584246454,126.902165652703,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울특별시,영등포구,당산동1가,37.5216623144433,126.898547402403,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울특별시,영등포구,당산동2가,37.5224653819519,126.893736304951,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울특별시,영등포구,당산동3가,37.5258485828122,126.89671357564,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울특별시,영등포구,당산동4가,37.5290653986881,126.899075891843,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울특별시,영등포구,당산동5가,37.5320981652415,126.901203325782,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울특별시,영등포구,당산동6가,37.5337949488347,126.904735599528,15467,2089,1790,475,5043,1683,190,4197
