agency,station,unit_name,unit_label,kind,address,sido,sigungu,lat,lon,catchment,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울성동,성수,성수지구대,지구대,서울특별시 성동구 광나루로2길 35 성수지구대,서울특별시,성동구,37.5417253860377,127.043351028535,"성수동1가, 성수동2가",8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울성동,서울숲,서울숲지구대,지구대,서울특별시 성동구 성덕정길 77-2,서울특별시,성동구,37.563427205337,127.036930141185,,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울성동,왕십리,왕십리파출소,파출소,서울특별시 성동구 마장로 205,서울특별시,성동구,37.5684327095864,127.024784739728,상왕십리동,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울성동,행당,행당파출소,파출소,서울특별시 성동구 행당로 89,서울특별시,성동구,37.5583059078881,127.037031736958,행당동,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울성동,옥수,옥수파출소,파출소,서울특별시 성동구 독서당로 211,서울특별시,성동구,37.5435886378545,127.013438338877,"금호동4가, 옥수동",8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울성동,금호,금호파출소,파출소,서울특별시 성동구 금호로11길 2-1,서울특별시,성동구,37.554885724907,127.02279294328,"금호동1가, 금호동2가, 금호동3가",8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울성동,응봉,응봉파출소,파출소,서울특별시 성동구 독서당로 373 응봉파출소,서울특별시,성동구,37.5531604882762,127.033416807797,응봉동,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울성동,용답,용답파출소,파출소,서울특별시 성동구 용답중앙길 49 용답파출소,서울특별시,성동구,37.5640758244217,127.055579052769,"송정동, 용답동",8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울동작,사당,사당지구대,지구대,서울특별시 동작구 사당로28길 44,서울특별시,동작구,37.483932674151,126.9731356614,사당동,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울동작,노량진,노량진지구대,지구대,서울특별시 동작구 등용로12나길 2,서울특별시,동작구,37.510705811037,126.940393261193,노량진동,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울동작,상도,상도지구대,지구대,서울특별시 동작구 등용로 24,서울특별시,동작구,37.50324263284,126.94974984805,"본동, 상도1동, 상도동",9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울동작,남성,남성지구대,지구대,서울특별시 동작구 사당로17나길 4,서울특별시,동작구,37.5124820423519,126.93931505634,,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울동작,흑석,흑석지구대,지구대,서울특별시 동작구 흑석로13길 13,서울특별시,동작구,37.505775015354,126.966590753167,"동작동, 흑석동",9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울동작,신대방,신대방지구대,지구대,서울특별시 동작구 신대방1다길 24,서울특별시,동작구,37.4930124961568,126.914941920386,신대방동,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울동작,대방,대방파출소,파출소,서울특별시 동작구 여의대방로 130,서울특별시,동작구,37.508164261,126.926343500008,대방동,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울광진,광나루,광나루지구대,지구대,서울특별시 광진구 아차산로 567,서울특별시,광진구,37.5385583136667,127.082385189457,,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,화양,화양지구대,지구대,서울특별시 광진구 능동로17길 39 화양지구대,서울특별시,광진구,37.5464762611364,127.071367614735,"군자동, 능동, 화양동",9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,중곡1,중곡1파출소,파출소,서울특별시 광진구 능동로 385,서울특별시,광진구,37.5385583136667,127.082385189457,,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,중곡2,중곡2파출소,파출소,서울특별시 광진구 능동로 346,서울특별시,광진구,37.5385583136667,127.082385189457,,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,중곡3,중곡3파출소,파출소,서울특별시 광진구 동일로76가길 28,서울특별시,광진구,37.5385583136667,127.082385189457,,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,중곡4,중곡4파출소,파출소,서울특별시 광진구 용마산로24길 7,서울특별시,광진구,37.5385583136667,127.082385189457,,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,자양,자양파출소,파출소,서울특별시 광진구 뚝섬로36길 9,서울특별시,광진구,37.5311077958689,127.073018338792,자양동,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,자양1,자양1파출소,파출소,서울특별시 광진구 자양번영로 80,서울특별시,광진구,37.5385583136667,127.082385189457,,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울광진,자양4,자양4파출소,파출소,서울특별시 광진구 뚝섬로22가길 43번지 자양4파출소,서울특별시,광진구,37.5385583136667,127.082385189457,,9803,1318,1321,406,2866,899,124,2869
